CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA;IN_ITEM_ADAPTADO
2;LC;153930;A;6;0;;2.28024;0.18554;0.19951;BRANCA;1462;0;0
2;LC;153930;A;6;0;;2.28024;0.18554;0.19951;LARANJA;1463;0;0
2;LC;153930;A;6;0;;2.28024;0.18554;0.19951;LARANJA;1464;0;0
2;LC;153930;A;6;0;;2.28024;0.18554;0.19951;LARANJA;1465;0;1
2;LC;153930;A;6;0;;2.28024;0.18554;0.19951;LARANJA;1466;0;1
2;LC;153930;A;6;0;;2.28024;0.18554;0.19951;LARANJA;1496;0;1
2;LC;153930;A;6;0;;2.28024;0.18554;0.19951;LEITOR TELA;1470;0;1
2;LC;153930;A;6;0;;2.28024;0.18554;0.19951;ROXA;1467;0;0
2;LC;153930;A;6;0;;2.28024;0.18554;0.19951;ROXA;1468;0;0
2;LC;153930;A;6;0;;2.28024;0.18554;0.19951;ROXA;1469;0;0
2;LC;153945;A;8;0;;1.8208;1.32304;0.19745;AZUL;1459;1;0
2;LC;158572;A;5;0;;2.69806;0.95263;0.15828;AMARELA;1550;0;0
2;LC;158572;A;5;0;;2.69806;0.95263;0.15828;BRANCA;1552;0;0
2;LC;158572;A;5;0;;2.69806;0.95263;0.15828;LARANJA;1553;0;0
2;LC;158572;A;5;0;;2.69806;0.95263;0.15828;LARANJA;1554;0;0
2;LC;158572;A;5;0;;2.69806;0.95263;0.15828;LARANJA;1555;0;1
2;LC;158572;A;5;0;;2.69806;0.95263;0.15828;LARANJA;1556;0;1
2;LC;158572;A;5;0;;2.69806;0.95263;0.15828;LARANJA;1580;0;1
2;LC;158572;A;5;0;;2.69806;0.95263;0.15828;LEITOR TELA;1558;0;1
2;LC;158572;A;5;0;;2.69806;0.95263;0.15828;VERDE;1551;0;0
2;LC;158577;E;6;0;;1.95604;0.66129;0.18619;AMARELA;1530;0;0
2;LC;158577;E;6;0;;1.95604;0.66129;0.18619;BRANCA;1532;0;0
2;LC;158577;E;6;0;;1.95604;0.66129;0.18619;LARANJA;1499;0;1
2;LC;158577;E;6;0;;1.95604;0.66129;0.18619;LARANJA;1500;0;1
2;LC;158577;E;6;0;;1.95604;0.66129;0.18619;LARANJA;1533;0;0
2;LC;158577;E;6;0;;1.95604;0.66129;0.18619;LARANJA;1534;0;0
